Year_of_study,Field_of_study,Ever_used_platform,Time_investing,Main_platform_type,Confidence_in_terms,Return_in_30_years,Purchasing_power_q,Single_stock_risk_q,Risk_Reward,Inflation_time_value_q,Diversification_purpose_q,Inflation_rate_q,Knowledge_improved,Confidence_interpreting_data,Features_used_most,Regretted_misinterpretation,Frequency_based_on_app_data,Greater_influence,Apps_oversimplify,Likely_to_use_new_features,Data_viz_helps
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,Not sure,Not sure,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Very confident,Other,No,Rarely,Personal decisions,Agree,Very likely,Strongly disagree
1st year,Business / Economics,Yes,Over 2 years,Trading app,Somewhat confident,Compound interest/growth,It decreases,Not sure,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Significantly,Confident,Stock performance charts,No,Rarely,Personal decisions,Strongly agree,Unlikely,Agree
1st year,Business / Economics,Yes,1-2 years,Other,Very confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Very confident,Stock performance charts,Yes,Often,Data and analytics,Strongly disagree,Likely,Strongly agree
3rd year,Engineering/ Science,Yes,6-12 months,Robo-advisor,Very confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Confident,Portfolio analytics,No,Often,Social media trends,Disagree,Very likely,Strongly agree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to lower potential reward,£110 in one year,To guarantee higher overall returns,Less than 10% interest,N/A - Not an investor,Confident,Portfolio analytics,No,Often,Data and analytics,Agree,Unlikely,Disagree
Postgraduate,Humanities / Arts,Yes,Over 2 years,Trading app,Confident,Capital (Your Investment),It increases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,To guarantee higher overall returns,Not sure,Moderately,Confident,Other,No,Often,Social media trends,Neutral,Unlikely,Disagree
3rd year,Humanities / Arts,Yes,1-2 years,Robo-advisor,Confident,Will be equal,It stays the same,Not sure,Risk and reward are not related,Not sure,To reduce the overall risk of the portfolio,Not sure,Slightly,Somewhat confident,Stock performance charts,No,Sometimes,Social media trends,Agree,Likely,Strongly agree
1st year,Engineering/ Science,Yes,6-12 months,Other,Confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Not sure,£100 today,To guarantee higher overall returns,Exactly 10% interest,Slightly,Very confident,Stock performance charts,No,Rarely,Data and analytics,Disagree,Likely,Strongly agree
Postgraduate,Business / Economics,Yes,1-2 years,Trading app,Confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Exactly 10% interest,Significantly,Confident,Stock performance charts,No,Never,Data and analytics,Neutral,Neutral,Strongly agree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Not Sure,It decreases,More risky than investing in a diversified fund,Not sure,Not sure,To minimize fees and expenses,Not sure,N/A - Not an investor,Somewhat confident,Stock performance charts,No,Sometimes,Advice from others,Strongly agree,Unlikely,Agree
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to higher potential reward,No difference,Not sure,Exactly 0% interest,N/A - Not an investor,Confident,Stock performance charts,No,Sometimes,Data and analytics,Strongly disagree,Unlikely,Disagree
3rd year,Engineering/ Science,Yes,1-2 years,Trading app,Somewhat confident,Not Sure,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Significantly,Somewhat confident,Portfolio analytics,No,Rarely,Personal decisions,Disagree,Very unlikely,Agree
3rd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Somewhat confident,Compound interest/growth,Not sure,Less risky,Higher risk generally leads to lower potential reward,No difference,To guarantee higher overall returns,Exactly 10% interest,Significantly,Somewhat confident,Stock performance charts,No,Sometimes,Advice from others,Neutral,Very unlikely,Agree
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Market news,No,Often,Data and analytics,Disagree,Very likely,Strongly disagree
2nd year,Humanities / Arts,Yes,6-12 months,Robo-advisor,Not confident,Capital (Your Investment),It increases,Not sure,Not sure,£110 in one year,Not sure,Less than 10% interest,No,Somewhat confident,Market news,No,Sometimes,Data and analytics,Strongly agree,Neutral,Neutral
2nd year,Business / Economics,Yes,Over 2 years,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Very confident,Market news,Yes,Often,Data and analytics,Neutral,Very likely,Strongly agree
3rd year,Business / Economics,Yes,Less than 6 months,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 0% interest,No,Very confident,Stock performance charts,Not sure,Sometimes,Data and analytics,Disagree,Very likely,Agree
Postgraduate,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Very confident,Stock performance charts,Not sure,Often,Data and analytics,Strongly disagree,Very likely,Agree
Postgraduate,Engineering/ Science,Yes,6-12 months,Robo-advisor,Somewhat confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Less than 10% interest,Slightly,Confident,Stock performance charts,No,Sometimes,Social media trends,Agree,Neutral,Neutral
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),It stays the same,As risky,Higher risk generally leads to lower potential reward,No difference,To guarantee higher overall returns,Exactly 0% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,Yes,Rarely,Social media trends,Agree,Unlikely,Agree
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Capital (Your Investment),It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,No difference,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Confident,Other,Yes,Rarely,Personal decisions,Agree,Very likely,Neutral
Postgraduate,Humanities / Arts,Yes,Less than 6 months,Robo-advisor,Not confident,Not Sure,It decreases,Not sure,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Confident,Portfolio analytics,No,Never,Social media trends,Agree,Unlikely,Agree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Sometimes,Personal decisions,Agree,Unlikely,Neutral
Postgraduate,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Confident,AI or data insights,No,Always,Data and analytics,Agree,Neutral,Agree
1st year,Humanities / Arts,Yes,Less than 6 months,Robo-advisor,Not confident,Will be equal,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To guarantee higher overall returns,Exactly 10% interest,Moderately,Somewhat confident,Stock performance charts,No,Sometimes,Advice from others,Agree,Unlikely,Neutral
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Not sure,N/A - Not an investor,Confident,Portfolio analytics,Not sure,Rarely,Personal decisions,Strongly agree,Unlikely,Agree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,Not sure,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Always,Personal decisions,Strongly agree,Neutral,Strongly disagree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,Not sure,Never,Social media trends,Agree,Very unlikely,Agree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It decreases,Not sure,Higher risk generally leads to lower potential reward,No difference,Not sure,Not sure,N/A - Not an investor,Very confident,Stock performance charts,No,Often,Data and analytics,Neutral,Unlikely,Neutral
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Not confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Risk and reward are not related,No difference,To reduce the overall risk of the portfolio,Exactly 0% interest,N/A - Not an investor,Not confident,Stock performance charts,No,Rarely,Advice from others,Neutral,Neutral,Agree
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),It decreases,As risky,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Rarely,Personal decisions,Strongly agree,Likely,Agree
1st year,Business / Economics,Yes,Less than 6 months,Trading app,Somewhat confident,Will be equal,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,To guarantee higher overall returns,Not sure,Slightly,Confident,Portfolio analytics,No,Sometimes,Personal decisions,Strongly agree,Neutral,Neutral
3rd year,Business / Economics,Yes,6-12 months,Trading app,Confident,Compound interest/growth,It increases,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Somewhat confident,AI or data insights,Yes,Never,Social media trends,Neutral,Unlikely,Agree
